[rosmaster.main][INFO] 2023-11-14 00:17:28,442: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-11-14 00:17:28,442: Starting ROS Master Node
[xmlrpc][INFO] 2023-11-14 00:17:28,443: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2023-11-14 00:17:28,443: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2023-11-14 00:17:28,443: Started XML-RPC server [http://ubuntu:11311/]
[xmlrpc][INFO] 2023-11-14 00:17:28,444: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-11-14 00:17:28,486: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,486: +PARAM [/roslaunch/uris/host_ubuntu__43299] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,558: +PARAM [/mavros/mission/use_mission_item_int] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/landing_target/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/wheel_odometry/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/odometry/fcu/odom_child_id_des] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/wheel_odometry/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/landing_target/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/wheel_odometry/count] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/wheel_odometry/wheel1/radius] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/landing_target/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/distance_sensor/lidarlite_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/landing_target/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,559: +PARAM [/mavros/landing_target/camera/fov_y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/landing_target/camera/fov_x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/wheel_odometry/wheel0/radius] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/landing_target/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/vision_speed/twist_cov] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/landing_target/target_size/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/landing_target/target_size/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/distance_sensor/laser_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/landing_target/image/width] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,560: +PARAM [/mavros/distance_sensor/sonar_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/wheel_odometry/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/fcu_protocol] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/wheel_odometry/use_rpm] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/distance_sensor/lidarlite_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,561: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/lidarlite_pub/id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/laser_1_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/sonar_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/send_raw] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/wheel0/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/wheel0/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/wheel1/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/wheel_odometry/wheel1/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/vision_pose/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/sonar_1_sub/id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/landing_target/land_target_type] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/lidarlite_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/distance_sensor/laser_1_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,562: +PARAM [/mavros/landing_target/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/wheel_odometry/vel_error] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/landing_target/listen_lt] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/wheel_odometry/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/fake_gps/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/global_position/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/lidarlite_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/odometry/fcu/odom_parent_id_des] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/lidarlite_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/landing_target/image/height] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/wheel_odometry/send_twist] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/distance_sensor/hrlv_ez4_pub/orientation] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,563: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/fake_gps/gps_rate] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,564: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2023-11-14 00:17:28,585: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41617/
[rosmaster.master][INFO] 2023-11-14 00:17:28,585: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41617/
[rosmaster.master][INFO] 2023-11-14 00:17:28,586: +PUB [/rosout_agg] /rosout http://ubuntu:41617/
[rosmaster.master][INFO] 2023-11-14 00:17:28,587: +SUB [/rosout] /rosout http://ubuntu:41617/
[rosmaster.master][INFO] 2023-11-14 00:17:28,610: +PUB [/rosout] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,611: +SERVICE [/mavros/get_loggers] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,612: +SERVICE [/mavros/set_logger_level] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,613: +PUB [/diagnostics] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,644: publisherUpdate[/rosout] -> http://ubuntu:41617/ ['http://ubuntu:40749/']
[rosmaster.master][INFO] 2023-11-14 00:17:28,646: publisherUpdate[/rosout] -> http://ubuntu:41617/ ['http://ubuntu:40749/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-11-14 00:17:28,648: +SUB [/tf] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,649: +SUB [/tf_static] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,649: +PUB [/tf] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,650: +PUB [/tf_static] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,744: publisherUpdate[/tf] -> http://ubuntu:40749/ ['http://ubuntu:40749/']
[rosmaster.master][INFO] 2023-11-14 00:17:28,745: publisherUpdate[/tf] -> http://ubuntu:40749/ ['http://ubuntu:40749/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-11-14 00:17:28,745: publisherUpdate[/tf_static] -> http://ubuntu:40749/ ['http://ubuntu:40749/']
[rosmaster.master][INFO] 2023-11-14 00:17:28,746: publisherUpdate[/tf_static] -> http://ubuntu:40749/ ['http://ubuntu:40749/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-11-14 00:17:28,804: +PUB [/mavlink/from] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,805: +SUB [/mavlink/to] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,827: +PUB [/mavros/radio_status] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,827: +PUB [/mavros/target_actuator_control] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,828: +SUB [/mavros/actuator_control] /mavros http://ubuntu:40749/
[rosmaster.master][INFO] 2023-11-14 00:17:28,839: +PUB [/mavros/adsb/vehicle] /mavros http://ubuntu:40749/
